id,name,definition,def_source,def_url,category
106,vav,A device that regulates the volume and temperature of air delivered to a zone by opening or closing a damper,brick,https://brickschema.org/ontology/1.1/classes/Variable_Air_Volume_Box/,
250,coil,Heat exchanger used to heat or cool air. Coils are sub-components of HVAC equipment such as ahu,haystack,https://project-haystack.org/doc/lib-phIoT/coil,
251,elecMeter,Equip or point which consumes energy as electrial load. Value should reference the meter it is associated with.,onboard,,
252,gasMeter,Equip or point which consumes fuel gas as load. Value should reference the meter it is associated with.,onboard,,
253,steamMeter,Equip or point which consumes steam as load. Value should reference the meter it is associated with.,onboard,,
254,waterMeter,Equip or point which consumes water as load. Value should reference the meter it is associated with.,onboard,,
255,thermalMeter,Equip which consumes thermal energy as load. Value should reference the meter it is associated with.,onboard,,
257,waterLoop,A collection of equipment that transport and regulate water among each other,brick,https://brickschema.org/ontology/1.2/classes/Water_Loop,
258,domesticWaterLoop,A collection of equipment that transport and regulate domestic water among each other,brick,https://brickschema.org/ontology/1.2/classes/Domestic_Water_Loop,
259,hotWaterLoop,A collection of equipment that transport and regulate hot water among each other,brick,https://brickschema.org/ontology/1.2/classes/Hot_Water_Loop,
260,chilledWaterLoop,A collection of equipment that transport and regulate chilled water among each other,brick,https://brickschema.org/ontology/1.2/classes/Chilled_Water_Loop,
158,boosterFan,Fan activated to increase airflow beyond what is provided by the default configuration,brick,https://brickschema.org/ontology/1.2/classes/Booster_Fan/,
159,coolingTowerFan,A fan that pulls air through a cooling tower and across the louvers where the water falls to aid in heat exchange by the process of evaporation,brick,https://brickschema.org/ontology/1.2/classes/Cooling_Tower_Fan/,
160,chilledBeam,Conditions a space using a heat exchanger integrated into the ceiling,haystack,https://project-haystack.org/doc/lib-phIoT/chilledBeam,
129,condenserClosedLoop,Working fluid is kept separate from fluid used for heat transfer into the atmosphere,haystack,https://project-haystack.org/doc/lib-phIoT/condenserClosedLoop,
130,condenserOpenLoop,Uses working fluid itself for evaporation into the atmosphere,haystack,https://project-haystack.org/doc/lib-phIoT/condenserOpenLoop,
154,dxCooling,Cooling using direct expansion of a refrigerant vapor,haystack,https://project-haystack.org/doc/lib-phIoT/dxCooling,
155,dxHeating,Heating using direct expansion of a refrigerant vapor,haystack,https://project-haystack.org/doc/lib-phIoT/dxHeating,
142,oilHeat,Indicates that a unit has heating capability using fossil fuel.,onboard,,
189,crac,"A device that monitors and maintains the temperature, air distribution and humidity in a network room or data center.",brick,https://brickschema.org/ontology/1.2/classes/CRAC/,
190,duct,Conduit used to convey air for HVAC,haystack,https://project-haystack.org/doc/lib-phIoT/duct,
174,exhaustFan,Fan moving exhaust air;  air that must be removed from a space due to contaminants.,brick,https://brickschema.org/ontology/1.1/classes/Exhaust_Fan,
162,radiator,Heats a space using exposed pipes or coils. Hot water and steam radiators are often cast iron and installed directly in the space or along the baseboard. Electric radiators are typically installed on the baseboard.,haystack,https://project-haystack.org/doc/lib-phIoT/radiator,
176,returnFan,Fan moving return air; air that is circulated from the building back into the HVAC system.,brick,https://brickschema.org/ontology/1.1/classes/Return_Fan,
165,rtu,"Packaged air conditioner mounted on a roof, the conditioned air being discharged directly into the rooms below or through a duct system.",brick,https://brickschema.org/ontology/1.1/classes/Rooftop_Unit,
127,chilledBeamZone,AHU supplies air to chilled beam terminal units,haystack,https://project-haystack.org/doc/lib-phIoT/chilledBeamZone,
141,multiZone,AHU discharge air is split into a duct per zone,haystack,https://project-haystack.org/doc/lib-phIoT/multiZone,
144,pressureDependent,VAV damper modulates to control space temp; dependent on duct pressure being maintained,haystack,https://project-haystack.org/doc/lib-phIoT/pressureDependent,
177,supplyFan,Fan moving supply air;  air that is supplied from the HVAC system into the building.,brick,https://brickschema.org/ontology/1.1/classes/Supply_Fan,
145,pressureIndependent,VAV damper modulates to control space temp; dependent on duct pressure being maintained,haystack,https://project-haystack.org/doc/lib-phIoT/pressureIndependent,
58,delta,Differential of fluid between entering and leaving sensors.,haystack,https://project-haystack.org/doc/lib-phIoT/delta,Quantity Modifier
54,effective,Current control setpoint in effect taking into account other factors,haystack,https://project-haystack.org/doc/lib-phIoT/effective,Quantity Modifier
161,radiantFloor,Heats a space using pipes or cables embedded beneath floor.,haystack,https://project-haystack.org/doc/lib-phIoT/radiantFloor,
146,primaryLoop,"Pipework which circulates closest to the energy source. In a central plant, the primary loop indicates the pipes and equipment within the central plant. In context of heat exchangers between the primary and secondary loops, this tag indicates the side closest to the plant.",haystack,https://project-haystack.org/doc/lib-phIoT/primaryLoop,
147,secondaryLoop,"Pipework which circulates closest to the building or end use. In a central plant, the secondary loop indicates the pipes and equipment between the central plant and the building. In context of heat exchangers between the primary and secondary loops, this tag indicates the side closest to the building.",haystack,https://project-haystack.org/doc/lib-phIoT/secondaryLoop,
152,vavZone,AHU supplies air to VAV terminal units,haystack,https://project-haystack.org/doc/lib-phIoT/vavZone,
91,ahu,"Air Handling Unit: An enclosure with a fan that delivers air to a space via ductwork and performs one or more of the functions of cleaning, heating, cooling, humidifying, dehumidifying, ventilating or circulating the air.",haystack,https://project-haystack.org/doc/lib-phIoT/ahu,
92,boiler,Equipment to generate hot water or steam for heating,haystack,https://project-haystack.org/doc/lib-phIoT/boiler,
32,bypass,Pipe used to bypass an equipment,haystack,https://project-haystack.org/doc/lib-phIoT/bypass,
49,chilled,Substance is cooled using cooling process,haystack,https://project-haystack.org/doc/lib-phIoT/chilled,Medium Property
94,chiller,Equipment to remove heat from a liquid. Chillers typically use a vapor compression or an absorption refrigeration cycle.,haystack,https://project-haystack.org/doc/lib-phIoT/chiller,
23,enable,Secondary on/off point of an equip especially used with a vfd. Enable is used with Bool points where true indicates on and false indicates off. Equip with an enable should always also define a run point which indicates the primary on/off state of the equipment.,haystack,https://project-haystack.org/doc/lib-phIoT/enable,
20,energy,Measure of ability to do work,haystack,https://project-haystack.org/doc/lib-phScience/energy,
40,entering,Pipe conveys fluid into an equipment,haystack,https://project-haystack.org/doc/lib-phIoT/entering,Direction
3,cmd,"Point is a command, actuator, AO/BO.",haystack,https://project-haystack.org/doc/lib-phIoT/cmd,Point Class
81,enum,"Defines an eumeration of string key names. The range may also be applied to format a Bool ordered as 'false,true'. The string value of this tag may be formatted in one of four ways: dict of dicts keyed by name and Dict values for meta such as doc tag, comma separated names on one line, names separated by a '
' newline character, markdown unordered list formatted as a series of '- name: description
'. Enum names should follow valid tag naming rules (start with lowercase ASCII letter and contain only ASCII letters and numbers). However in cases where mapping directly to external enumerations enum names can contain arbitrary characters such as space.",haystack,https://project-haystack.org/doc/lib-ph/enum,
98,evaporator,Mechanism used to convert a refrigerant from its liquid to gaseous state.,haystack,https://project-haystack.org/doc/lib-phIoT/evaporator,
69,fan,Fan equipment or control point,haystack,https://project-haystack.org/doc/lib-phIoT/fan,
99,fcu,"Fan Coil Unit: A unitary, factory-made enclosure with a fan and coil that recirculates air in a space and performs one or more of the functions of cleaning, heating, cooling, humidifying, dehumidifying, or ventilating the air. Unit heaters are examples of FCUs.",haystack,https://project-haystack.org/doc/lib-phIoT/fcu,
112,freezeStat,"A boolean point of an ahu indicating a freezing condition. This might require a control sequence to protect the equipment. If true then a freeze condition is detected, or false if not.",haystack,https://project-haystack.org/doc/lib-phIoT/freezeStat,
45,heat,"Associated with a heating process. When used on a point, this tag is associated with the control of heating.",haystack,https://project-haystack.org/doc/lib-phIoT/heat,
100,heatExchanger,Equipment to transfer heat between two working fluids.,haystack,https://project-haystack.org/doc/lib-phIoT/heatExchanger,
51,heating,Heating mode or process,haystack,https://project-haystack.org/doc/lib-phIoT/heating,Medium Property
101,heatPump,Heat pump: An air handling equipment which employs a vapor compression cycle with a reversing valve to provide heating or cooling to a space.,haystack,https://project-haystack.org/doc/lib-phIoT/heatPump,
70,heatWheel,Boolean point indicating command state of AHU's heat wheel.,haystack,https://project-haystack.org/doc/lib-phIoT/heatWheel,
48,hot,Having high degree of heat,haystack,https://project-haystack.org/doc/lib-phIoT/hot,Medium Property
34,isolation,Actuator used to isolate an equipment from a pipe or ductwork system,haystack,https://project-haystack.org/doc/lib-phIoT/isolation,
39,leaving,Pipe conveys fluid out of an equipment,haystack,https://project-haystack.org/doc/lib-phIoT/leaving,Direction
26,mixed,Duct where fresh outside air and return air is mixed together,haystack,https://project-haystack.org/doc/lib-phIoT/mixed,Medium Property
33,mixing,Three way valve which inputs two pipes and outputs a mixture between the two to a single output pipe.,haystack,https://project-haystack.org/doc/lib-phIoT/mixing,
55,occ,Occupied mode of a space.,haystack,https://project-haystack.org/doc/lib-phIoT/occ,
24,outside,Duct to access fresh outside air for both ventilation and economizer.,haystack,https://project-haystack.org/doc/lib-phIoT/outside,Direction
84,pf,Electrical power factor; unitless number between 0.0 and 1.0 which is ratio of active to apparent power in an AC power system.,haystack,https://project-haystack.org/doc/lib-phIoT/pf,
6,pressure,Measure of force applied,haystack,https://project-haystack.org/doc/lib-phScience/pressure,
68,pump,Pump equipment or control point,haystack,https://project-haystack.org/doc/lib-phIoT/pump,
18,refrig,Fluid used in refrigeration and heat exchange. Refrigerants typically alternate between liquid and gas state.,haystack,https://project-haystack.org/doc/lib-phIoT/refrig,
63,return,Duct returning air back to equipment,haystack,https://project-haystack.org/doc/lib-phIoT/return,Direction
19,run,Primary on/off point of an equip especially used with a vfd. Run is used with Bool points where true indicates on and false indicates off. When paired with cmd this is the commanded state of the equipment. When paired with sensor this is the actual status of the equip. If the equipment also defines an enable point then both must be commanded on in order to run the equipment.,haystack,https://project-haystack.org/doc/lib-phIoT/run,
1,sensor,"Point is a sensor, input, AI/BI.",haystack,https://project-haystack.org/doc/lib-phIoT/sensor,Point Class
108,site,Site is a geographic location of the built environment. Typically site maps to one building with its own unique street address.,haystack,https://project-haystack.org/doc/lib-phIoT/site,
2,sp,"Point is a setpoint, soft point, internal control variable, schedule.",haystack,https://project-haystack.org/doc/lib-phIoT/sp,Point Class
14,stage,"Stage number of staged equipment operation such as coil or pump. The first stage is 1, second stage 2, etc.",haystack,https://project-haystack.org/doc/lib-phIoT/stage,
57,standby,Readiness mode of a space,haystack,https://project-haystack.org/doc/lib-phIoT/standby,
104,tank,Tank used to store a substance for temporary holding,haystack,https://project-haystack.org/doc/lib-phIoT/tank,
56,unocc,Unoccupied mode of a space.,haystack,https://project-haystack.org/doc/lib-phIoT/unocc,
13,valve,Valve equipment or control point,haystack,https://project-haystack.org/doc/lib-phIoT/valve,Quantity Modifier
76,wetBulb,Wet bulb air temperature. Temperature which the air would have if cooled to saturation by the evaporation of water into it.,haystack,https://project-haystack.org/doc/lib-phScience/wetBulb,
62,zone,Related to spaces from a system perspective,haystack,https://project-haystack.org/doc/lib-phIoT/zone,Direction
133,directZone,AHU supplies air directly to the zone,haystack,https://project-haystack.org/doc/lib-phIoT/directZone,
134,dualDuct,"Two ducts: combination of hotDeck, coldDeck, or neutralDeck",haystack,https://project-haystack.org/doc/lib-phIoT/dualDuct,
157,naturalGas,Fossil fuel energy source consisting largely of methane and other hydrocarbons.,haystack,https://project-haystack.org/doc/lib-phIoT/naturalGas,
156,hvac,"Heating, ventilation, and air conditioning",haystack,https://project-haystack.org/doc/lib-phIoT/hvac,
46,cool,"Associated with low temperature or cooling processes. When used on a point, this tag is associated with the control of cooling. When paired with a substance, this tag indicates the substance is relatively cool in comparison to another substance, without being actively cooled by e.g. a chiller.",haystack,https://project-haystack.org/doc/lib-phIoT/cool,
78,current,Movement of fluid or electricity,haystack,https://project-haystack.org/doc/lib-phScience/current,
10,elec,"Associated with electricity, electric charge",haystack,https://project-haystack.org/doc/lib-phScience/elec,
7,flow,Measure of volumetric flow of fluid,haystack,https://project-haystack.org/doc/lib-phScience/flow,
5,humidity,Percent relative humidity; measure of moisture in the air,haystack,https://project-haystack.org/doc/lib-phScience/humidity,
77,level,Range from 0% to 100%. When paired with a fluid this implies a fill level where 0% is empty and 100% is full.,haystack,https://project-haystack.org/doc/lib-phScience/level,
21,power,Energy consumed per unit time,haystack,https://project-haystack.org/doc/lib-phScience/power,
17,steam,Water in its gas form,haystack,https://project-haystack.org/doc/lib-phScience/steam,
4,temp,Temperature - measure of hot and cold,haystack,https://project-haystack.org/doc/lib-phScience/temp,
28,total,Complete or absolute,haystack,https://project-haystack.org/doc/lib-phScience/total,
80,volt,"Electrical voltage, potential difference",haystack,https://project-haystack.org/doc/lib-phScience/volt,
93,chilledWaterPlant,"The equipment, devices and conduits that handle the production and distribution of chilled water in a building",brick,https://brickschema.org/ontology/1.2/classes/Chilled_Water_System,
102,hotWaterPlant,"The equipment, devices and conduits that handle the production and distribution of hot water in a building",brick,https://brickschema.org/ontology/1.2/classes/Hot_Water_System/,
22,vfd,"Electronic device that varies its output frequency to vary the rotating speed of a motor, given a fixed input frequency. Used with fans or pumps to vary the flow in the system as a function of a maintained pressure.",brick,https://brickschema.org/ontology/1.2/classes/Variable_Frequency_Drive/,
16,water,"Transparent, odorless, tasteless liquid; a compound of hydrogen and oxygen (H2O), containing 11.188% hydrogen and 88.812% oxygen by mass; freezing at 32F (0C); boiling near 212F (100C).",brick,https://brickschema.org/ontology/1.2/classes/Water/,
103,meter,A device that measure usage or consumption of some media --- typically a form energy or power.,brick,https://brickschema.org/ontology/1.2/classes/Meter/,
126,airCooling,Cooling by dissipating heat into the surrounding air,haystack,https://project-haystack.org/doc/lib-phIoT/airCooling,
128,chilledWaterCooling,Cooling using transfer of heat to chilled water,haystack,https://project-haystack.org/doc/lib-phIoT/chilledWaterCooling,
131,constantAirVolume,Delivers a constant volume of air flow. Typically this means equipment with a single speed fan.,haystack,https://project-haystack.org/doc/lib-phIoT/constantAirVolume,
132,coolingOnly,Equipment without heating,haystack,https://project-haystack.org/doc/lib-phIoT/coolingOnly,
136,elecHeating,Heating by the conversion of electrical energy,haystack,https://project-haystack.org/doc/lib-phIoT/elecHeating,
138,naturalGasHeating,Heating by the combustion of natural gas,haystack,https://project-haystack.org/doc/lib-phIoT/naturalGasHeating,
139,hotWaterHeating,Heating using energy of hot water,haystack,https://project-haystack.org/doc/lib-phIoT/hotWaterHeating,
151,variableAirVolume,Delivers a variable volume of air flow. Most variable volume systems are powered by a VFD fan. However other techniques such as inlet vanes may be used in older systems.,haystack,https://project-haystack.org/doc/lib-phIoT/variableAirVolume,
153,waterCooling,Cooling using transfer of heat to water which is not explicitly chilled,haystack,https://project-haystack.org/doc/lib-phIoT/waterCooling,
82,dewPoint,Dew point temperature at which water vapor will form dew,haystack,https://project-haystack.org/doc/lib-phScience/dewPoint,
97,panel,Enclosure for electrical and control equipment. Panels may be used to isolate electrical connections and provide environmental protection.,haystack,https://project-haystack.org/doc/lib-phIoT/panel,
109,lighting,Systems associated with illumination in the built environment,haystack,https://project-haystack.org/doc/lib-phIoT/lighting,
44,reheats,Equipment heats a substance previously cooled or heated.,haystack,https://project-haystack.org/doc/lib-phIoT/reheats,Medium Property
105,unitVent,Unit Ventilator: An FCU that has direct access to outside air to provide the space with ventilation.,haystack,https://project-haystack.org/doc/lib-phIoT/unitVent,
85,elevator,Elevator refers to a vertical transportation machine that is used to move people or freight between levels or floors.,onboard,,Quantity Modifier
110,schedule,Applied to a point indicating the planned occupancy of a conditioned space at a given time.,onboard,,
113,defrost,Indicates a boolean point to remove frost or ice when the coil temperature drops below 32F.,onboard,,
115,linearVelocity,Applied to a point measuring rate of change of position with respect to time,onboard,,
116,cav,"A terminal unit that delivers conditioned air to a zone. Unlike a VAV, the air volume remains constant in a CAV.",onboard,,
117,lockout,A boolean point indicating a condition where the free rotation of a fan is stopped in unoccupied mode when there is no heating or cooling available,onboard,,
122,supply,Associated with the air delivered from an ahu to downstream units such as VAVs.,onboard,,Direction
36,discharge,Associated with the air delivered from a unit directly into the zone.,onboard,,
125,virtual,Refers to a point that has been calculated based on the combination of other points and is not directly observable.,onboard,,Point Class
87,alarm,Applied to boolean points indicating a fault or failure condition,onboard,,Point Class
35,choke,Indicates choke valve position. Applied to chilled/condenser water,onboard,,
83,dehumidify,Indicates a boolean point to dehumidify (remove moisture) air.,onboard,,
47,dualTemp,Applied to dual-temp water system.,onboard,,Medium Property
86,duration,Applied to points measuring the duration of an event.,onboard,,
59,dynamic,Applied to points measuring dynamic pressure.,onboard,,Quantity Modifier
79,frequency,Applied to vfd to measure output frequency.,onboard,,
66,glycol,Point associated with the measurement or control of glycol.,onboard,,
52,humidify,Indicates a boolean point to humidify (add moisture) air.,onboard,,
71,preCool,Applied to coil points measuring discharge air temperature from a pre-cooling coil.,onboard,,Medium Property
43,preHeat,Applied to coil points measuring discharge air temperature from a pre-heating coil.,onboard,,Medium Property
64,relief,Associated with the relief air system to prevent over-pressurization in the conditioned space.,onboard,,
88,untagged,Untagged refers to a Point Type/Equipment that is undentified or virtual.,onboard,,
89,ductHeater,Duct Heaters are used to preheat the air being supplied to a room. Heat is created by passing electric current through resistance coils.,onboard,,
107,vrf,"Variable refrigerant Flow refers to an HVAC system that circulate refrigerant within the building to heat/cool spaces. As the name suggests, it operates at varying speeds reducing energy consumption.",onboard,,
111,mode,Indicates the current state of an equipment or a system as an enumeration.,onboard,,
95,condenser,Condensers are designed to transfer heat from one fluid to another. In HVAC systems condensers are used to cool refrigerant vapor into liquid.,onboard,,
123,enthalpy,The total heat content of a system. It is the sum of the system's internal energy and product of it's pressure and volume.,onboard,,
121,gas,"Used on points measuring concentrations for gases other than Carbon Dioxide. E.g. NO2, CO",onboard,,
140,hotWaterReheat,Indicates a VAV with hot water reheat.,onboard,,
143,parallel,Indicates the VAV fan pulls air from outside the primary airflow.,onboard,,
148,series,Indicates the VAV pulls air from the primary airflow.,onboard,,
149,singleDuct,Indicates an ahu which uses a single duct for all air flow.,onboard,,
150,tripleDuct,"Indicates an ahu which discharges into three ducts which are the hotDeck, coldDeck, and neutralDeck.",onboard,,
137,elecReheat,Indicates a VAV with electric reheat.,onboard,,
90,radiantEquip,HVAC equipment that conditions a space without forced air.,onboard,,
163,erv,Indicates an Energy Recovery Ventilation unit that harnesses the energy contained in exhausted air coming from a conditioned space and uses it to treat the incoming ventilated air.,onboard,,
186,glycolPump,Pump designed to circulate glycol.,onboard,,
166,hotWaterBoiler,Boiler that heats water below 100 C .It requires a pump to ciculate the hot water.,onboard,,
187,hotWaterPump,Pump designed to ciculate hot water.,onboard,,
175,reliefFan,Fan moving relief air to prevent over pressurization in the conditioned space.,onboard,,
167,steamBoiler,Boiler that heats water at or above 100 C to convert it into steam.,onboard,,
168,absorptionChiller,Indicates a chiller which uses absorption driven by hot water (as opposed to vapor compression).,onboard,,
169,centrifugalChiller,Indicates chiller compressor which uses a continuous flow of fluid through an impeller.,onboard,,
183,circPump,Pump designed to circulate a fluid through an equipment such as a boiler.,onboard,,
164,mau,"Used with ahu to mark an AHU as a makeup air handling unit which conditions 100% outside air, and no recirculated air.",onboard,,
182,chilledWaterPump,Pump designed to circulate chilled water.,onboard,,
188,condenserWaterPump,Pump designed to circulate condenser water.,onboard,,
184,domesticWaterPump,Pump designed to circulate domestic water.,onboard,,
185,dualTempWaterPump,Pump designed to circulate water in a dual temp water system.,onboard,,
170,reciprocalChiller,Indicates chiller compressor which uses pistons driven by a crankshaft.,onboard,,
171,screwChiller,Indicates chiller compressor which uses a rotary mechanism.,onboard,,
172,sitePanel,Marker tag for an elecPanel to indicate its the main site-level panel.,onboard,,
173,subPanelOf,Ref tag to indicate that an elecPanel is positioned underneath another panel in the electric distribution system.,onboard,,
15,air,Point associated with the measurement or control of air.,onboard,,
75,apparent,"Applied to an electrical power point to indicate apparent power, typically measured in 'kVA'.",onboard,,
8,co2,"Carbon dioxide level point measured in """"ppm"""".",onboard,,
11,damper,Marker tag on point which indicates a damper used to regulate or control the flow or pressure of air.,onboard,,Quantity Modifier
73,active,"Applied to an electrical power point to indicate active power or real power, typically measured in 'kW'.",onboard,,
65,exhaust,Associated with points measuring the flow of exhaust air,onboard,,Direction
27,filter,"Differential pressure across the filter of an ahu. If a boolean point then true indicates successful airflow and false indicates a clogged filter. If a numeric point then the pressure differential should be measured in """"inH2O"""" or """"kPa""""",onboard,,
12,speed,"When used as a vfd point it is speed measured in """"%"""" where 0% is off and 100% is the fastest speed.",onboard,,
67,makeup,Points associated with the flow of makeup air; Outside air that replaces the exhausted air within the built environment,onboard,,
60,max,Associated with a maximum value.,onboard,,Quantity Modifier
61,min,Associated with a minumum value.,onboard,,Quantity Modifier
74,reactive,"Applied to an electrical power point to indicate reactive power or imaginary power, typically measured in 'kVAR'.",onboard,,
